label;cp;busses;bus_param;bus_P_ref;bus_char;bus_base;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;kA;kA_set;kA_var;kA_char;kA_char_set;kA_char_param;Tamb;Tamb_set;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;hydro_group;kA_group;kA_char_group
pipe9_back;pipe;['network losses'];[None];[-391.54470039113556];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-391.54470039113556;False;False;0.9889425845415128;False;False;9747179.3820827;False;False;0.036;True;False;12.083045973594572;True;False;0.00069;True;False;7.2913677448860765;True;False;0x000001DE0F227518;False;m;0;True;-1.1928120659376162;False;1.433442066231505;False;0.2406300002938888;False;default;default;default
pipe10_back;pipe;['network losses'];[None];[-392.68185167179894];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-392.68185167179894;False;False;0.9128623496842434;False;False;84138689.65271336;False;False;0.036;True;False;104.30723848324239;True;False;0.00069;True;False;7.291367744886069;True;False;0x000001DE0F227940;False;m;0;True;-1.1566368644281055;False;1.4376051681193445;False;0.28096830369123893;False;default;default;default
pipe11_back;pipe;['network losses'];[None];[-393.8087816779782];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-393.8087816779782;False;False;0.9295037393901125;False;False;73227916.25396101;False;False;0.036;True;False;90.78546139112804;True;False;0.00069;True;False;7.291367744886306;True;False;0x000001DE0F227550;False;m;0;True;-1.16525952521526;False;1.4417308500017507;False;0.2764713247864907;False;default;default;default
pipe12_back;pipe;['network losses'];[None];[-394.95208607627046];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-394.95208607627046;False;False;0.9782731986466907;False;False;23068313.557533905;False;False;0.036;True;False;28.600699292150182;True;False;0.00069;True;False;7.291367744886224;True;False;0x000001DE0F227860;False;m;0;True;-1.1945232635028362;False;1.4459164784047978;False;0.25139321490196154;False;default;default;default
pipe13_back;pipe;['network losses'];[None];[-396.10612600824305];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-396.10612600824305;False;False;0.964700696745958;False;False;38847392.94832262;False;False;0.036;True;False;48.16637831516918;True;False;0.00069;True;False;7.291367744886115;True;False;0x000001DE0F2277F0;False;m;0;True;-1.1891868027117056;False;1.4501414095121474;False;0.2609546068004418;False;default;default;default
pipe14_back;pipe;['network losses'];[None];[-397.255296106686];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-397.255296106686;False;False;0.9467836755301983;False;False;61852788.621415935;False;False;0.036;True;False;76.69419795525604;True;False;0.00069;True;False;7.291367744886105;True;False;0x000001DE0F2277B8;False;m;0;True;-1.180049448485822;False;1.4543485121972763;False;0.2742990637114544;False;default;default;default
pipe17_back;pipe;['network losses'];[None];[-366.29727455748116];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-366.29727455748116;False;False;0.989449711133469;False;False;211763530.66861308;False;False;0.0217;True;False;16.97056274847714;True;False;0.00069;True;False;6.692425261876618;True;False;0x000001DE0F227828;False;m;0;True;-1.1147787667138187;False;1.341011438980345;False;0.2262326722665262;False;default;default;default
pipe16_back;pipe;['network losses'];[None];[-395.0370981257857];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-395.0370981257857;False;False;0.9990668012000856;False;False;18538371.324006967;False;False;0.036;True;False;21.93171219946131;True;False;0.00069;True;False;7.29136774488521;True;False;0x000001DE0F227400;False;m;0;True;-1.2066412547401002;False;1.4462277068489318;False;0.23958645210883156;False;default;default;default
pipe5_feed;pipe;['network losses'];[None];[-524.7604943332169];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-524.7604943332169;False;False;0.9995911125354688;False;False;109674486.70960614;False;False;0.0217;True;False;8.54400374531753;True;False;0.00069;True;False;6.692425261877353;True;False;0x000001DE0F227470;False;m;0;True;-1.492597361657881;False;1.9211440392942227;False;0.4285466776363418;False;default;default;default
pipe15_feed;pipe;['network losses'];[None];[-518.748683252954];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-518.748683252954;False;False;0.9369270094794735;False;False;218116088.40183464;False;False;0.0217;True;False;17.804493814764857;True;False;0.00069;True;False;6.692425261877357;True;False;0x000001DE0F2274A8;False;m;0;True;-1.4380033461802553;False;1.8991348462491455;False;0.46113150006889025;False;default;default;default
pipe21_feed;pipe;['network losses'];[None];[-525.0665355868425];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-525.0665355868425;False;False;0.9929461662201339;False;False;162680017.79800934;False;False;0.0217;True;False;13.152946437965905;True;False;0.00069;True;False;6.692425261877395;True;False;0x000001DE0F227080;False;m;0;True;-1.490994655011403;False;1.9222644539148548;False;0.43126979890345174;False;default;default;default
pipe22_feed;pipe;['network losses'];[None];[-523.4203408896307];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-523.4203408896307;False;False;0.9918116921192429;False;False;554134457.9155712;False;False;0.0217;True;False;44.28317965096906;True;False;0.00069;True;False;6.692425261877518;True;False;0x000001DE0F227EB8;False;m;0;True;-1.4881042294300144;False;1.9162377480857797;False;0.4281335186557653;False;default;default;default
pipe24_feed;pipe;['network losses'];[None];[-523.0675765633641];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-523.0675765633641;False;False;0.9981615402773264;False;False;330210348.2461641;False;False;0.0217;True;False;25.942243542145693;True;False;0.00069;True;False;6.6924252618773545;True;False;0x000001DE0F2273C8;False;m;0;True;-1.4886844735426588;False;1.9149462806639728;False;0.426261807121314;False;default;default;default
pipe26_feed;pipe;['network losses'];[None];[-520.6681496498325];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-520.6681496498325;False;False;0.9993648594700213;False;False;154961495.48048657;False;False;0.0217;True;False;12.083045973594572;True;False;0.00069;True;False;6.6924252618774895;True;False;0x000001DE0F2272B0;False;m;0;True;-1.4835167351441847;False;1.906161997619742;False;0.4226452624755572;False;default;default;default
pipe28_feed;pipe;['network losses'];[None];[-491.41608957652977];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-491.41608957652977;False;False;0.9959850834435822;False;False;686687842.6731843;False;False;0.0217;True;False;105.77334257741882;True;False;5e-05;True;False;6.314757899999359;True;False;0x000001DE0F227358;False;m;0;True;-1.3996873396498444;False;1.7990704359382383;False;0.39938309628839397;False;default;default;default
pipe30_feed;pipe;['network losses'];[None];[-516.2245641482527];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-516.2245641482527;False;False;0.9995031200718234;False;False;170414369.3522919;False;False;0.0217;True;False;13.152946437965905;True;False;0.00069;True;False;6.692425261877518;True;False;0x000001DE0F227240;False;m;0;True;-1.4736584419420469;False;1.8898940660745114;False;0.4162356241324645;False;default;default;default
pipe32_feed;pipe;['network losses'];[None];[-494.808797529758];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-494.808797529758;False;False;0.9998854064411623;False;False;86987658.97234027;False;False;0.0217;True;False;11.045361017187261;True;False;0.00029;True;False;6.4847739887169125;True;False;0x000001DE0F227FD0;False;m;0;True;-1.4158937571567825;False;1.811491113050551;False;0.39559735589376865;False;default;default;default
pipe34_feed;pipe;['network losses'];[None];[-541.2332760699255];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-541.2332760699255;False;False;0.9999812566124108;False;False;2910108.314597815;False;False;0.036;True;False;5.0;True;False;0.00029;True;False;7.026988805196286;True;False;0x000001DE0F227F28;False;m;0;True;-1.5456049938152054;False;1.9814507635728558;False;0.4358457697576503;False;default;default;default
pipe36_feed;pipe;['network losses'];[None];[-495.70752578962436];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-495.70752578962436;False;False;0.9986942702206515;False;False;410817540.21005994;False;False;0.0217;True;False;41.43669871020132;True;False;0.00029;True;False;6.4847739887170865;True;False;0x000001DE0F2272E8;False;m;0;True;-1.4178331841314658;False;1.814781350135912;False;0.39694816600444627;False;default;default;default
pipe38_feed;pipe;['network losses'];[None];[-482.5756801088568];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-482.5756801088568;False;False;0.9998425136243603;False;False;109022634.26795557;False;False;0.0217;True;False;13.92838827718412;True;False;8.999999999999999e-05;True;False;6.388444347918733;True;False;0x000001DE0F227C50;False;m;0;True;-1.383918107252321;False;1.766705766461127;False;0.382787659208806;False;default;default;default
pipe40_feed;pipe;['network losses'];[None];[-489.266752012709];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-489.266752012709;False;False;0.9955828629784756;False;False;155681786.88795465;False;False;0.0217;True;False;22.825424421026653;True;False;8.999999999999999e-05;True;False;6.388444347918576;True;False;0x000001DE0F227E48;False;m;0;True;-1.3978932336909653;False;1.7912017280348125;False;0.3933084943438472;False;default;default;default
pipe42_feed;pipe;['network losses'];[None];[-482.99150520313265];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-482.99150520313265;False;False;0.9996567773997429;False;False;45967217.79958469;False;False;0.0217;True;False;7.211102550927978;True;False;8.999999999999999e-05;True;False;6.388444347918616;True;False;0x000001DE0F227DD8;False;m;0;True;-1.3848549424234615;False;1.7682280988582562;False;0.38337315643479464;False;default;default;default
pipe44_feed;pipe;['network losses'];[None];[-476.637493879209];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-476.637493879209;False;False;0.9997701441338946;False;False;39597139.0813563;False;False;0.0217;True;False;6.0;True;False;8.999999999999999e-05;True;False;6.388444347918668;True;False;0x000001DE0F227D68;False;m;0;True;-1.3705595829173343;False;1.7449661134146404;False;0.3744065304973061;False;default;default;default
pipe45_feed;pipe;['network losses'];[None];[-477.5161804129896];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-477.5161804129896;False;False;0.9976975583547095;False;False;283519000.1330967;False;False;0.0217;True;False;44.82186966202994;True;False;8.999999999999999e-05;True;False;6.388444347918646;True;False;0x000001DE0F227CF8;False;m;0;True;-1.3722740041645596;False;1.7481829778985527;False;0.3759089737339931;False;default;default;default
pipe5_back;pipe;['network losses'];[None];[-362.6458020413632];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-362.6458020413632;False;False;0.9995338320748015;False;False;111902883.79328337;False;False;0.0217;True;False;8.54400374531753;True;False;0.00069;True;False;6.692425261876867;True;False;0x000001DE0F227C88;False;m;0;True;-1.107809763980446;False;1.327643426840063;False;0.21983366285961692;False;default;default;default
pipe15_back;pipe;['network losses'];[None];[-367.4163615222668];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-367.4163615222668;False;False;0.9213302938276238;False;False;218717872.27115417;False;False;0.0217;True;False;17.804493814764857;True;False;0.00069;True;False;6.6924252618777045;True;False;0x000001DE0F227898;False;m;0;True;-1.076799198959836;False;1.3451084075499427;False;0.26830920859010665;False;default;default;default
pipe21_back;pipe;['network losses'];[None];[-366.4613538862229];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-366.4613538862229;False;False;0.9919781595792364;False;False;163748515.82940885;False;False;0.0217;True;False;13.152946437965905;True;False;0.00069;True;False;6.692425261879228;True;False;0x000001DE0F6AED68;False;m;0;True;-1.1151168295521512;False;1.341612132111378;False;0.2264953025592269;False;default;default;default
pipe22_back;pipe;['network losses'];[None];[-365.3092274676898];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-365.3092274676898;False;False;0.9906354298250867;False;False;560154668.6958897;False;False;0.0217;True;False;44.28317965096906;True;False;0.00069;True;False;6.692425261881978;True;False;0x000001DE0F6AEDA0;False;m;0;True;-1.112970427305823;False;1.3373942063616688;False;0.22442377905584587;False;default;default;default
pipe24_back;pipe;['network losses'];[None];[-363.5563628915356];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-363.5563628915356;False;False;0.9978978600499372;False;False;335847157.77142453;False;False;0.0217;True;False;25.942243542145693;True;False;0.00069;True;False;6.692425261876685;True;False;0x000001DE0F6AEFD0;False;m;0;True;-1.1099479491285347;False;1.3309769829453988;False;0.22102903381686412;False;default;default;default
pipe26_back;pipe;['network losses'];[None];[-362.78470155738677];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-362.78470155738677;False;False;0.9992717981208983;False;False;157977197.0024348;False;False;0.0217;True;False;12.083045973594572;True;False;0.00069;True;False;6.6924252618794045;True;False;0x000001DE0F6AEF98;False;m;0;True;-1.1081412595320863;False;1.3281519368749288;False;0.22001067734284252;False;default;default;default
pipe28_back;pipe;['network losses'];[None];[-343.3288271698339];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-343.3288271698339;False;False;0.995061899348877;False;False;746629302.7825167;False;False;0.0217;True;False;105.77334257741882;True;False;5e-05;True;False;6.314757899998919;True;False;0x000001DE0F6AEF60;False;m;0;True;-1.0477348655256278;False;1.2569241338818742;False;0.2091892683562464;False;default;default;default
pipe30_back;pipe;['network losses'];[None];[-361.7396510252279];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-361.7396510252279;False;False;0.9994266857312032;False;False;174225390.14737347;False;False;0.0217;True;False;13.152946437965905;True;False;0.00069;True;False;6.692425261880064;True;False;0x000001DE0F6AEF28;False;m;0;True;-1.1054957615278007;False;1.324326015102427;False;0.21883025357462627;False;default;default;default
pipe32_back;pipe;['network losses'];[None];[-347.820169616787];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-347.820169616787;False;False;0.9998595420677773;False;False;94397657.61441156;False;False;0.0217;True;False;11.045361017187261;True;False;0.00029;True;False;6.484773988716204;True;False;0x000001DE0F6AEEF0;False;m;0;True;-1.0643272817065597;False;1.2733669032282153;False;0.20903962152165567;False;default;default;default
pipe34_back;pipe;['network losses'];[None];[-381.7444281674257];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-381.7444281674257;False;False;0.9999770364402086;False;False;3156627.563368792;False;False;0.036;True;False;5.0;True;False;0.00029;True;False;7.02698880519703;True;False;0x000001DE0F6AEEB8;False;m;0;True;-1.1657083891664644;False;1.3975633467597501;False;0.23185495759328578;False;default;default;default
pipe36_back;pipe;['network losses'];[None];[-350.8758983846672];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-350.8758983846672;False;False;0.9984604014910256;False;False;426894895.02533495;False;False;0.0217;True;False;41.43669871020132;True;False;0.00029;True;False;6.48477398872001;True;False;0x000001DE0F6AEE80;False;m;0;True;-1.0720420592039668;False;1.2845539021953771;False;0.21251184299141035;False;default;default;default
pipe38_back;pipe;['network losses'];[None];[-343.06628977602736];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-343.06628977602736;False;False;0.99980671818938;False;False;117986759.38294946;False;False;0.0217;True;False;13.92838827718412;True;False;8.999999999999999e-05;True;False;6.388444347921386;True;False;0x000001DE0F6AEE48;False;m;0;True;-1.0495729211315339;False;1.2559629865496151;False;0.20639006541808125;False;default;default;default
pipe40_back;pipe;['network losses'];[None];[-349.4683395358401];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-349.4683395358401;False;False;0.9947772767754447;False;False;161502760.96089995;False;False;0.0217;True;False;22.825424421026653;True;False;8.999999999999999e-05;True;False;6.388444347920043;True;False;0x000001DE0F6AEE10;False;m;0;True;-1.0647789303188548;False;1.2794008403289039;False;0.21462191001004904;False;default;default;default
pipe42_back;pipe;['network losses'];[None];[-347.6780645954034];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-347.6780645954034;False;False;0.9995795266351504;False;False;49614158.68924482;False;False;0.0217;True;False;7.211102550927978;True;False;8.999999999999999e-05;True;False;6.388444347919455;True;False;0x000001DE0F6AEDD8;False;m;0;True;-1.0613227567253294;False;1.2728466578634574;False;0.21152390113812802;False;default;default;default
pipe44_back;pipe;['network losses'];[None];[-347.18789795898493];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-347.18789795898493;False;False;0.9997190968593329;False;False;42613171.067935735;False;False;0.0217;True;False;6.0;True;False;8.999999999999999e-05;True;False;6.388444347919748;True;False;0x000001DE0F6AE860;False;m;0;True;-1.0600927515552216;False;1.2710521616656965;False;0.2109594101104748;False;default;default;default
pipe45_back;pipe;['network losses'];[None];[-347.82973239124186];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-347.82973239124186;False;False;0.9971794651752415;False;False;305129353.6626412;False;False;0.0217;True;False;44.82186966202994;True;False;8.999999999999999e-05;True;False;6.388444347918828;True;False;0x000001DE0F6AE898;False;m;0;True;-1.0614241812096414;False;1.2734019124702247;False;0.21197773126058328;False;default;default;default
pipe4_feed;pipe;['network losses'];[None];[-611.225995609427];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-611.225995609427;False;False;0.9884207780010824;False;False;7453592.429538675;False;False;0.0419;True;False;21.095023109728988;True;False;0.00069;True;False;7.674025442364296;True;False;0x000001DE0F6AEAC8;False;m;0;True;-1.7083433437711006;False;2.2376935588849607;False;0.52935021511386;False;default;default;default
pipe20_feed;pipe;['network losses'];[None];[-606.6747281094825];['0x000001DE0F1AF828'];['component'];[];[];nan;False;False;-606.6747281094825;False;False;0.9991621434422063;False;False;7706692.331898278;False;False;0.0419;True;False;21.213203435596427;True;False;0.00069;True;False;7.674025442364129;True;False;0x000001DE0F6AEA90;False;m;0;True;-1.7220609819759851;False;2.2210314043912964;False;0.4989704224153113;False;default;default;default
